Test : Time to finish as a function of the number of empty spaces(F) (n = 32, m = 6)
F,avg iterations
[1,2005.3;
2,1917.08;
3,1811.83;
4,1612.72;
5,1562.18;
6,1435.35;
7,1373.85;
8,1299.69;
9,1218.44;
10,1169.61;
11,1110.57;
12,1059.41;
13,1013.65;
14,975.69;
15,942.08;
16,896.67;
17,860.2;
18,844.97;
19,799.64;
20,776.34;
21,754.47;
22,730.7;
23,708.55;
24,672.7;
25,658.15;
26,637.69;
27,615.16;
28,602.31;
29,587.93;
30,564.66;
31,559.07;
32,539.62;
33,525.72;
34,509.74;
35,493.86;
36,476.52;
37,468.59;
38,447.29;
39,441.48;
40,436.5;
41,421.14;
42,412.95;
43,404.53;
44,397.3;
45,389.6;
46,382.38;
47,375.7;
48,366.04;
49,357.95;
50,346.19;
51,339.21;
52,330.68;
53,322.53;
54,316.88;
55,308.38;
56,305.36;
57,297.66;
58,289.04;
59,287.04;
60,279.32;
61,274.97;
62,271.48;
63,267.8;
64,263.71;
65,259.58;
66,254.18;
67,248.88;
68,246.54;
69,241.35;
70,238.75;
71,233.68;
72,231.13;
73,228.83;
74,225.62;
75,223.99;
76,223.05;
77,220.85;
78,217.59;
79,217.84;
80,215.32;
81,215.2;
82,212.89;
83,211.03;
84,208.84;
85,207.74;
86,208.48;
87,205.06;
88,204.28;
89,202.39;
90,200.94;
91,199.76;
92,197.82;
93,197.48;
94,197.13;
95,195.8;
96,194.16;
97,194.26;
98,193.16;
99,193;
100,192.25;
101,191.85;
102,191.76;
103,191.54;
104,189.94;
105,190.48;
106,190.56;
107,190.21;
108,188.93;
109,190.47;
110,189.56;
111,189.66;
112,188.87;
113,189.11;
114,187.85;
115,188.61;
116,189.39;
117,189.37;
118,188.72;
119,188.41;
120,188.49;
121,189.77;
122,188.95;
123,187.83;
124,188;
125,187.52;
126,187.25;
127,187.45;
128,187.84;
129,188.91;
130,188.09;
131,188.88;
132,186.66;
133,187.63;
134,188.25;
135,187.14;
136,187.1;
137,188.22;
138,187.25;
139,187.23;
140,187.14;
141,187.13;
142,188.28;
143,187.59;
144,187.37;
145,187.15;
146,186.52;
147,186.89;
148,187.58;
149,186.57;
150,186.85;
151,187.7;
152,186.81;
153,186.29;
154,187.56;
155,186.85;
156,186.36;
157,187.52;
158,186.82;
159,187.73;
]
