Test : Time to finish as a function of the number of empty spaces(F) (n = 16, m = 6)
F,avg iterations
[1,978.05;
2,825;
3,737.84;
4,640.46;
5,577.75;
6,528.09;
7,471.16;
8,442.63;
9,406;
10,385.79;
11,361.9;
12,335.31;
13,311.73;
14,296.3;
15,278.06;
16,267.23;
17,249.12;
18,236.24;
19,223.12;
20,215.24;
21,204.29;
22,197.35;
23,188;
24,177.93;
25,173.14;
26,163.4;
27,154.35;
28,147.49;
29,145.28;
30,140.46;
31,135.6;
32,130.23;
33,125.22;
34,120.48;
35,118.39;
36,114.85;
37,111.53;
38,108.35;
39,108.21;
40,106.36;
41,105.22;
42,103.56;
43,102.39;
44,101.11;
45,99.58;
46,98.16;
47,96.71;
48,95.92;
49,95.76;
50,95.48;
51,95.3;
52,94.11;
53,93.81;
54,93.72;
55,92.01;
56,91.6;
57,92.73;
58,92.82;
59,92.77;
60,93.09;
61,92.96;
62,91.9;
63,93.14;
64,92.88;
65,92.33;
66,92.33;
67,92.1;
68,92.13;
69,90.96;
70,91.94;
71,91.68;
72,91.69;
73,91.85;
74,91.78;
75,91.13;
76,91.23;
77,91.64;
78,92.14;
79,91.01;
]
